source,item,created,modified,accessed,confidence
Mounted Evidence,I:\Program Files\DellTPad\DellTouchpad.exe,2015-06-25 09:56:04,2015-06-25 09:56:04,2015-06-25 09:56:04,High
Mounted Evidence,I:\Program Files\DellTPad\DellTPad.exe,2015-06-25 09:56:04,2015-06-25 09:56:04,2015-06-25 09:56:04,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\libmfxhw64.dll,2015-07-31 03:45:34,2015-07-31 03:45:34,2015-07-31 03:45:34,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\mfxplugin32_hw.dll,2015-07-31 03:45:34,2015-07-31 03:45:34,2015-07-31 03:45:34,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\mfxplugin64_hw.dll,2015-07-31 03:45:34,2015-07-31 03:45:34,2015-07-31 03:45:34,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\mfx_mft_h264ve_32.dll,2015-07-31 03:45:34,2015-07-31 03:45:34,2015-07-31 03:45:34,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\mfx_mft_h264ve_64.dll,2015-07-31 03:45:34,2015-07-31 03:45:34,2015-07-31 03:45:34,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\mfx_mft_mjpgvd_32.dll,2015-07-31 03:45:34,2015-07-31 03:45:34,2015-07-31 03:45:34,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\mfx_mft_mjpgvd_64.dll,2015-07-31 03:45:34,2015-07-31 03:45:34,2015-07-31 03:45:34,High
Mounted Evidence,I:\Program Files\Intel\Media SDK\libmfxhw32.dll,2015-07-31 03:45:36,2015-07-31 03:45:36,2015-07-31 03:45:36,High
Mounted Evidence,I:\Program Files\STMicroelectronics\stdcfltn\uninstall.bat,2018-03-27 10:23:57,2016-08-29 22:07:18,2018-03-27 10:23:57,High
Mounted Evidence,I:\Program Files\STMicroelectronics\stdcfltn\DIFxAPI.dll,2018-03-27 10:23:57,2016-08-29 22:13:16,2018-03-27 10:23:57,High
Mounted Evidence,I:\Program Files\DIFX\6EA29BFA7E0DBB1A\dpinst.exe,2018-03-27 10:23:58,2016-08-29 22:13:18,2018-03-27 10:23:58,High
Mounted Evidence,I:\Program Files\STMicroelectronics\stdcfltn\dpinst.exe,2018-03-27 10:23:57,2016-08-29 22:13:18,2018-03-27 10:23:57,High
Mounted Evidence,I:\Program Files\STMicroelectronics\stdcfltn\SARP.reg,2018-03-27 10:23:57,2016-08-30 15:07:32,2018-03-27 10:23:57,High
Mounted Evidence,I:\Program Files\STMicroelectronics\stdcfltn\stdcfltn.inf,2018-03-27 10:23:57,2016-10-07 02:19:14,2018-03-27 10:23:57,High
Mounted Evidence,I:\Program Files\STMicroelectronics\stdcfltn\stdcfltn.cat,2018-03-27 10:23:57,2016-10-07 11:37:12,2018-03-27 10:23:57,High
Mounted Evidence,I:\Program Files\STMicroelectronics\stdcfltn\stdcfltn.sys,2018-03-27 10:23:57,2016-10-07 11:37:12,2018-03-27 10:23:57,High
Mounted Evidence,I:\Program Files\STMicroelectronics\stdcfltn\stdcfltn.cab,2016-10-12 06:41:06,2016-10-12 06:41:06,2016-10-12 06:41:06,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display.NvContainer\plugins\LocalSystem\_nvstapisvr.dll,2018-03-27 10:21:26,2016-12-29 12:29:04,2018-03-27 10:21:26,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display.NvContainer\plugins\LocalSystem\_nvstapisvr64.dll,2018-03-27 10:21:26,2016-12-29 12:29:04,2018-03-27 10:21:26,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display.NvContainer\NVDisplay.Container.exe,2018-03-27 10:20:59,2016-12-29 13:10:15,2018-03-27 10:20:59,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\installer.{01DE5A67-2DF4-4D0A-B811-FFBE9FC766F8}\setup.cfg,2018-03-27 10:20:58,2016-12-29 13:10:16,2018-03-27 10:20:58,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\NVDisplayContainerLS.{81BACCF5-054C-4518-97B7-9484EAFF5BE0}\NVDisplayContainerLS.nvi,2018-03-27 10:20:58,2016-12-29 13:10:17,2018-03-27 10:20:58,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\NVDisplayContainer.{38406642-2A7B-4C55-8DFF-7786D461C640}\NVDisplayContainer.nvi,2018-03-27 10:20:58,2016-12-29 13:10:18,2018-03-27 10:20:58,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display.NvContainer\plugins\LocalSystem\NvXDCore.dll,2018-03-27 10:21:04,2016-12-29 13:16:12,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\Display.ControlPanel.{4B65D6E1-13EC-4853-857D-531054927F83}\DisplayCplExt.dll,2018-03-27 10:21:03,2016-12-29 13:16:12,2018-03-27 10:21:03,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Installer2\installer.{DFA4C869-47B0-4FB6-B9AF-6AD817A8F788}\setup.cfg,2018-03-27 10:21:03,2016-12-29 13:16:12,2018-03-27 10:21:03,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Control Panel Client\nvcplui.exe,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Control Panel Client\nvcpluir.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Control Panel Client\NvGpuUtilization.exe,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvdisps.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvdispsr.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvgames.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvgamesr.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvmccss.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvmccssr.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvmobls.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvmoblsr.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvsvs.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvsvsr.dll,2018-03-27 10:21:04,2016-12-29 13:16:13,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvtray.exe,2018-03-27 10:21:04,2016-12-29 13:16:14,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvui.dll,2018-03-27 10:21:04,2016-12-29 13:16:14,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvuir.dll,2018-03-27 10:21:04,2016-12-29 13:16:14,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvvitvs.dll,2018-03-27 10:21:04,2016-12-29 13:16:14,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvvitvsr.dll,2018-03-27 10:21:04,2016-12-29 13:16:14,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvwss.dll,2018-03-27 10:21:04,2016-12-29 13:16:14,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvwssr.dll,2018-03-27 10:21:04,2016-12-29 13:16:14,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvxdapix.dll,2018-03-27 10:21:04,2016-12-29 13:16:14,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvxdbat.dll,2018-03-27 10:21:04,2016-12-29 13:16:14,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvxdplcy.dll,2018-03-27 10:21:04,2016-12-29 13:16:14,2018-03-27 10:21:04,High
Mounted Evidence,I:\Program Files\NVIDIA Corporation\Display\nvsmartmax.dll,2018-03-27 10:21:04,2016-12-29 13:16:15,2018-03-27 10:21:04,High
